Hettie|Your first herd|My first cow belonged to my aunt. It followed her everywhere and refused to follow me at all.|How did you persuade it?|I borrowed her coat. By the time the cow noticed, we were friends. The coat never recovered.|A day off|I would like one morning when nobody needs feeding before I do.|Even the hens?|Especially the hens. They have had years to learn where the grain is.
Oren|Studying the dead|My grandfather spoke to the empty chair after my grandmother died. Nobody thought that was strange.|Is that why you study ghosts?|Partly. I want to understand where remembering ends and something answering begins.|Taking notes|I write frightening passages in the morning. At night every sound starts agreeing with them.|Does that help?|Immensely. Sunlight is an underrated research assistant.
Tamsin|The reading corner|I chose the chair with the torn cushion because nobody fought me for it. Now it is my chair, tear and all.|Have you mended it?|Yes, with blue thread. Everyone knows whose repair it is. I may have become territorial.|A story of your own|I am writing about a girl who finds a door inside a tree. I cannot decide what is behind it.|What does she want to find?|Her brother. I suppose I have answered my own question, haven't I?
Master Iven|Your first class|I brought a map so old that three towns had different names. A pupil's grandmother corrected me through the window.|What did you do?|Invited her in. It became the best lesson I had prepared badly.|Why geography matters|A child who knows where bread, iron and salt come from knows that strangers have already helped them live.|Is that what you teach?|The map is only the beginning. I would like them to grow up curious about the hands beyond it.
Brin|Drawing temples|I draw each temple from every description I can find. Sometimes two travellers put the same door on opposite walls.|How do you decide?|I leave both in pencil. Guessing is useful if you remember it is a guess.|A future expedition|I want to measure an old stair properly. Everyone says it is impossibly steep. Nobody says how steep.|That sounds painstaking.|It sounds like something I could finally answer instead of repeating.
Nell|The royal histories|The king's writers call every cruel decision necessary. They never mention who had to bear it.|What would you write instead?|Names. A page of names would make necessity less comfortable to read.|Speaking in class|I used to lower my voice whenever I reached Halvard's name. Master Iven waited until I could say the whole sentence clearly.|Were you afraid?|I still am sometimes. But I would rather finish the sentence.
Sable|Three versions|I laid three accounts of Wingfall side by side. The newest copied a spelling mistake from the oldest and changed everything around it.|What did that tell you?|That the writer had read the truth before choosing another story.|Trusting a book|I do not want to distrust everything. That would be as lazy as believing everything.|What do you want?|Enough patience to check, and enough courage to change my mind when I find something better.
Pella|The globe|My father promised to show me the coast. When the roads grew dangerous, he bought this little globe instead.|Was that disappointing?|Yes. But he learned every place on it with me. He did what he could without pretending it was the same.|Your first destination|The coast. I want to see whether the sea really disappears into the sky.|What will you do when you get there?|Sit down and look until I stop trying to compare it with a picture.
Bess|Opening the Copper Cup|I bought six chairs, inherited two tables and borrowed enough cups for the first night. Half the village brought their own.|A good beginning.|One man still brings the same cup. Says he does not want to put a strain on the business.|Keeping the peace|I learned everyone's favourite song before I learned whose quarrels went back twenty years.|Which is more useful?|The songs. You can get two enemies humming before either notices the other has joined in.
Ronan|Learning cider|My first batch was so sharp Bess used it to clean a pan. I claimed that was its intended purpose.|Did she believe you?|She asked for another barrel. I had to become a better brewer out of professional embarrassment.|The orchard in autumn|There is one tree that ripens late. We always think it has failed, then it gives us the sweetest apples.|Do you name the batches after it?|I call that one Patience. Bess says I should drink less of it and practise more.
Venn|The oldest letter|I have a letter in my bag addressed to a boy who must be grown by now. His father wrote about coming home.|Do you know what happened?|No. That is why I cannot throw it away. Someone deserves to know he meant to come.|Why carry letters|My mother could not read. I watched her keep a letter for weeks before she trusted someone to read it aloud.|What did it say?|That her sister was well. Six words, and she slept properly that night.
Hobb|That table|I helped carry this table through the door. We had to take the legs off and turn it three times.|You made it sound easier earlier.|That is the reward for surviving hard work. You get to tell it as though you were competent throughout.|Your unfinished project|I am making a chair at home. It has three legs and a promising attitude.|When will it have four?|When I have studied this table a little longer. Research cannot be hurried.
Edric|Travelling light|I used to carry a spare for everything. Then I had to pay someone to help carry the spares.|What do you bring now?|Dry socks, a needle and enough courtesy to ask for help. Courtesy packs very small.|An ordinary evening|My favourite journeys have a day in them when nothing happens. No storm, no broken axle, no tale worth repeating.|Why remember those?|Because I was there, and I was content. A day need not entertain anyone else.
Dorr|Five more minutes|I used to unload wagons before dawn. My body still wakes me at that hour, whether I have work or not.|So you sleep here?|Bess makes enough noise that I know I am missing nothing dangerous.|Dreams at the table|I dreamed I had finished every job anyone had asked of me. Then somebody knocked.|Who was it?|No idea. I refused to answer. Best dream I have had in years.
Ser Anwen|Your oath|I swore to protect people. The wording was quite clear until somebody began explaining whom it did not include.|What did you do?|Asked them to show me that part of the oath. I was not invited back to the discussion.|Before you were knighted|I was a stable hand who kept repairing the training dummies. A captain asked whether I wanted to hit one instead.|You said yes?|After I finished stitching it. I have never liked leaving a job half done.
Grusk|Learning cards|Dain taught me with a deck missing two cards. Said it made the game more interesting.|Did you keep playing?|I made him play without knowing which two. His opinion of interesting changed considerably.|Your old trade|I hauled barrels before my shoulder gave out. I still catch myself measuring doors with my eyes.|Could you fit a barrel through this one?|Three abreast. Do not tell Bess I have considered it.
Fen|Learning to dance|My first partner counted every step aloud. We sounded like two people moving furniture.|Did you get better?|We stopped counting when the music was too good to talk over. That was the lesson.|A place to belong|I travelled alone long enough to forget how to enter a room without looking for the exit.|What helped?|Somebody holding out a hand when the tune began. You cannot watch every door while you are turning.
Senn|The bad hand|I once won a game with the worst hand at the table. Everyone was so certain I could not be that cheerful without good cards.|Were you cheerful?|I had just heard my brother was coming home. The cards had nothing to do with it.|Knowing when to fold|My father said a lost copper is a cheap lesson if you stop paying for it.|Do you listen?|More often than Dain thinks. He mistakes my leaving for a lack of courage. I call it having breakfast money.
Dain|The traveller's boots|Forgewick grit catches in a boot differently from Thornwell mud. I learned by sweeping this floor for Bess.|You used to work here?|Still do when my wagers go badly. She has found an excellent way to keep the floor clean.|A fair game|Nyra says I explain rules when they become useful to me. That is a harsh description of an excellent memory.|Could you explain them first?|I could. Grusk has begun insisting, with the sort of patience that makes a man nervous.
Rusk|The northern pass|I crossed with a man who talked the whole way. I wished him quiet until fog swallowed the path.|His voice helped?|Kept us together. I bought him supper and let him tell the entire journey again.|What you pack|A cord, a lamp, a dry scarf and a scrap of paper with my daughter's address.|Why the paper?|So that even if I cannot speak for myself, somebody knows where I belong.
Linnet|The old tune|My grandmother hummed it while kneading bread. She could not remember the words, which saved her trouble later.|When the king changed them?|Yes. Nobody could accuse her of forgetting words she had never claimed to know.|Playing without words|People put their own memories into a tune when you leave it room.|Do you hear the difference?|In the room, yes. Someone smiles, someone looks away. The same notes can visit very different homes.
Puck|A small audience|I practised behind the tavern until Bess opened the window and asked whether the same note had to suffer every day.|Was it that bad?|It had endured a great deal. She gave me a proper lesson out of pity for the neighbours.|The first good song|A customer asked who had written it. I nearly said someone famous, just to see how that felt.|What did you say?|Me. My voice cracked on the word, but I have been glad of it ever since.
Vale|The large hat|My sister made it to keep the rain off my spectacles. I said it was too large. She said my opinions were too damp.|Was she right?|Infuriatingly. I can read in a drizzle now.|Avoiding conversation|People see this hat and assume I have an interesting story. I had hoped they would assume I wanted shade.|Do you have a story?|Several. I prefer being asked to being announced.
Cerys|Two educations|My sister brings home facts. I bring home reasons people pretend not to know them.|Do you compare notes?|Over breakfast. She has begun calling this table a field study, which sounds more respectable than it deserves.|Your next lesson|I would like to learn cards well enough to lose for a reason I understand.|Why plan to lose?|Because expecting to win every lesson makes you a poor student and an expensive friend.
Nyra|Watching the spare hand|My uncle was a street conjurer. He taught me to watch what a person hopes I will ignore.|Does Dain know that?|He is discovering it one unsuccessful trick at a time.|A good performance|I like a trick when everyone agrees to be fooled. The surprise belongs to the audience then.|And when they do not agree?|Then it is just somebody taking something and hoping applause will cover the noise.
Maren|Keeping the inn|My first guest arrived soaked through and apologised for dripping on the floor. I brought towels before I asked his name.|Why remember that guest?|Because he returned with his whole family. A dry towel can be an introduction.|The quiet room|I put the best blankets in the room nearest the door. Late arrivals should not have to climb stairs half asleep.|Do guests notice?|They sleep. That is the notice I was hoping for.
Dunstan|Your first blade|My first sword bent at the hilt. My master hung it over the bench where I could see it every morning.|Did he ever take it down?|When I stopped being ashamed and started explaining what I had done wrong.|Fitting armor|A plate that pinches will steal your attention at the worst moment. Move your shoulders. Tell me honestly where it catches.|You would adjust it again?|As often as needed. Armor is meant to fit the person, Corin. I am not forging you to match it.
Sela|Glass and mistakes|A bubble ruins a pane if you pretend it is not there. In an ornament, it can become the point of the whole piece.|How do you decide?|By asking what the glass can still do well. Sulking does not improve the answer.|The shield's shape|I began with a window that held through a furnace blast. The frame was ruined. The glass was barely marked.|That led to the shield?|It led to a great many broken samples. Useful discoveries are usually surrounded by a very untidy floor.
Tam|The family press|Joss found the old screw under a sack and spent two afternoons getting it to turn. I had been using it to hang aprons.|Does it work well?|Better than it did when it was new, he says. Nobody who remembers it new is allowed to disagree.|A bottle for Nan|Nan brought soup when I was ill and refused to let me pay for the ingredients.|So you make her cider?|We have been failing to settle the account for years. It is a pleasant sort of debt.
Celia|Copying histories|I used to copy only the grand speeches. Then I found a laundry list tucked into a battle account.|You kept that too?|Someone still needed clean shirts while the world was changing. It made the story feel inhabited.|Your notebook|I leave the last page blank for a question I cannot answer yet.|Which question?|What ordinary people knew while the important people were still deciding what to call it.
Ivo|The tools above your bed|They belonged to my grandfather. I hung them there because I wanted to wake up remembering what he could make.|Even with the rattling?|Especially then. He was never a quiet man while he worked.|Your first project|I am making a wooden box with a lid that closes properly. It is proving more ambitious than I expected.|What will you keep in it?|The mistakes from making the next one. Grandfather kept a whole drawer of those.
Merrin|Watching the road|My brother always arrived without sending word. I took this table so I could see him before he reached the door.|Does he still visit?|When the roads allow it. I would rather watch a dull road than miss a familiar face.|A visitor's welcome|I keep a spare place even when I expect nobody. It makes unexpected company feel expected.|Does that matter?|You can see a person's shoulders lower when they realise they are not an inconvenience.
Zella|Mending nets|My mother made me mend the smallest holes first. I wanted to fix the dramatic ones and feel useful.|Why the small ones?|Because a little neglect becomes a large job. She had a way of making that apply to everything.|The spare cord|I carry it even when I am not fishing. It has mended straps, tied parcels and rescued a child's toy from a drain.|An eventful piece of string.|More useful than half the advice I have been given, and easier to keep in a pocket.
Iris|Stacking the firewood|I stack the dry wood close enough to reach without opening the outer door. My first winter taught me that lesson at midnight.|What happened?|The door froze shut. I burned a stool and spent spring explaining the missing seat.|A winter visitor|An old neighbour used to come over claiming she had run out of kindling. I always gave her tea first.|Was she really out?|Rarely. People invent small errands when they are lonely. I keep plenty of kindling.
Alderic|Waiting in the temple|I thought keeping watch meant staying ready for a single great moment. Most of it has been sweeping dust from the same steps.|Was it worth waiting?|You are here asking me that. It is the first time the answer has felt less like a promise.|The first dragon|The old accounts describe her strength carefully and her gentleness almost in passing.|Why would they do that?|People expect power to explain a life. I suspect the small kindnesses would tell us more about hers.
King Halvard|The old riders|They wanted every decision discussed until the season changed. I was the one willing to act.|They trusted you.|Trust is a fine word for expecting another man to carry your hesitation. I grew tired of carrying it.|What the crown costs|Every town asks the throne for safety, then calls the price cruelty. They remember peaceful years and forget who secured them.|And the people you killed?|You have come to judge fifty years with the certainty of a boy who has not ruled one day. Bring a better argument.
Cartwright Oswin|The broken wheel|That wheel has carried three harvests, two wedding feasts and a load of turnips nobody admitted ordering.|And it breaks here?|Right across the road. It has always had a talent for being noticed at the worst moment.|Your wagon|My father built the bed from timber he had saved for a boat. Decided roads were less likely to swallow him.|Was he right?|Usually. Ask me again when I have this wheel back on.
Miner Marn|Clearing the bank|You start with the loose stones above the cart. Pull the cart first and the rest comes down on your hands.|You have done this before?|Once, with someone shouting at me to hurry. I do not let anyone hurry me now.|After the shift|I carve little animals from stone chips. Nerik says they all look like badgers.|Do they?|The horse did. I have decided to make a family of badgers and call it a deliberate choice.
Miner Nerik|Working with Marn|Marn can tell a tired wheel by its squeak. I hear a squeak and hope it belongs to somebody else's cart.|Who noticed this one?|Marn. I am being allowed to forget that at a very leisurely pace.|Your first wage|I bought my mother a proper lamp with a glass chimney. She said the old one was perfectly good.|Was she pleased?|She carried it into every room before setting it down. I have rarely been thanked so thoroughly without words.
Snowbuilder Nessa|The snow family|I made the first one the year my brother could not get home. It wore his scarf and leaned the same way.|Did he see it?|When the thaw came, all that was left was the scarf. He said the resemblance was uncanny.|Making the faces|A crooked nose gives them something to talk about. Perfect snowmen look as though they have nothing left to learn.|And the little one?|That one is still deciding who it wants to be. I have left its hat loose.
